127.0.0.1, 2019-07-06 17:31:01, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 0.635000
127.0.0.1, 2019-07-06 17:31:44, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.446000
127.0.0.1, 2019-07-06 17:31:45, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:31:46, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-31-43.22a9434a-ae5c-40fd-bdd6-a4aef7f8157f, HTTP/1.1, 200, 0.438000
127.0.0.1, 2019-07-06 17:31:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:32:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.256000
127.0.0.1, 2019-07-06 17:32:01, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 0.683000
127.0.0.1, 2019-07-06 17:33:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.212000
127.0.0.1, 2019-07-06 17:33:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.796000
127.0.0.1, 2019-07-06 17:34:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 3.187000
127.0.0.1, 2019-07-06 17:34:04, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.537000
127.0.0.1, 2019-07-06 17:34:08, GET, /coletaContador/default/testes, HTTP/1.1, 500, 1.540000
127.0.0.1, 2019-07-06 17:34:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-06 17:34:11, GET, /admin/default/ticket/coletaContador/127.0.0.1.2019-07-06.17-34-07.73022155-70f4-401a-b619-857f7bdb0073, HTTP/1.1, 200, 0.390000
127.0.0.1, 2019-07-06 17:34:12, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2019-07-06 17:35:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.685000
127.0.0.1, 2019-07-06 17:35:03, GET, /coletaContador/appadmin/hooks, HTTP/1.1, 200, 3.028000
127.0.0.1, 2019-07-06 17:36:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 2.358000
